dataset,source,format,split,label,count
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,organizacion_consecuencias_republicanas,15
artifacts/datasets/gold-v1-source-aware.json,b23a4bf1-b9f4-4c08-bb89-a4cf4a67e004,pdf,val,participacion_social_regional,11
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,campanias_conflictos_militares,10
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,contexto_colonial_antecedentes,0
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,crisis_ideas_emancipadoras,0
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,liderazgos_diplomacia_proyectos,6
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,no_relevante,4
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,organizacion_consecuencias_republicanas,0
artifacts/datasets/gold-v1-source-aware.json,e32181bc-41d0-4400-a76d-eb11fc88bf71,pdf,train,participacion_social_regional,28
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,campanias_conflictos_militares,1
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,contexto_colonial_antecedentes,6
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,crisis_ideas_emancipadoras,29
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,liderazgos_diplomacia_proyectos,21
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,no_relevante,28
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,organizacion_consecuencias_republicanas,1
outputs/agn-snapshot-v1/reviewed-export.json,0ea45102-057d-4bff-b527-f36326f66d33,pdf,train,participacion_social_regional,17
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,campanias_conflictos_militares,1
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,contexto_colonial_antecedentes,14
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,crisis_ideas_emancipadoras,22
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,liderazgos_diplomacia_proyectos,1
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,no_relevante,22
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,organizacion_consecuencias_republicanas,2
outputs/agn-snapshot-v1/reviewed-export.json,15e52806-3d75-4117-937d-7c7eda594579,youtube,test,participacion_social_regional,10
outputs/agn-snapshot-v1/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,campanias_conflictos_militares,0
outputs/agn-snapshot-v1/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,contexto_colonial_antecedentes,1
outputs/agn-snapshot-v1/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,crisis_ideas_emancipadoras,0
outputs/agn-snapshot-v1/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,liderazgos_diplomacia_proyectos,0
