dataset,source,format,split,label,count,work,author,identity_evidence,identity_status
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,contexto_colonial_antecedentes,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,crisis_ideas_emancipadoras,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,liderazgos_diplomacia_proyectos,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,no_relevante,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,organizacion_consecuencias_republicanas,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,17552e18-8e04-53f8-a48f-b60ed56fbbd0,pdf,train,participacion_social_regional,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,campanias_conflictos_militares,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,contexto_colonial_antecedentes,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,crisis_ideas_emancipadoras,14,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,liderazgos_diplomacia_proyectos,1,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,no_relevante,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,organizacion_consecuencias_republicanas,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,1c8bc7af-a9f6-5392-b3ff-6d7433fb010a,pdf,train,participacion_social_regional,3,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,campanias_conflictos_militares,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,contexto_colonial_antecedentes,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,crisis_ideas_emancipadoras,4,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,liderazgos_diplomacia_proyectos,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,no_relevante,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,organizacion_consecuencias_republicanas,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
outputs/corpus-snapshot-v4/reviewed-export.json,48262fb6-dee2-531e-b001-536c5928a9ca,pdf,train,participacion_social_regional,0,UNKNOWN,UNKNOWN,unknown; resource ID is not work identity,unknown
